===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
 HBLENGINE        4.79       -8.30       -15.14 None    None        88.12        615.00 None
  CANTABIL        4.78        0.81        -0.14 None    None          NaN           NaN None
BIRLACORPN        4.77       -1.55         0.00 None    None        11.34         93.55 None
 BALAMINES        4.74        1.37         0.17 None    None       -46.57        -75.00 None
KIRLOSBROS        4.71        0.77         0.51 None    None        24.87        325.00 None
      EMIL        4.70        9.71       -12.80 None    None        23.51        -46.34 None
     NELCO        4.64       -4.05        -0.01 None    None        -8.44        -61.86 None
TRITURBINE        4.59        5.95       -11.89 None    None        43.24         68.42 None
 CREDITACC        4.55        7.22       -13.76 None    None          NaN           NaN None
    538734        4.54        0.98        -6.21 None    None       282.93        540.00 None
THANGAMAYL        4.49        7.89        -8.82 None    None          NaN           NaN None
    JKTYRE        4.48        5.07        -1.79 None    None         6.20        365.71 None
  NORTHARC        4.48      -16.47          NaN None    None        50.87        -14.29 None
      HSCL        4.47        4.74         2.65 None    None         6.78        358.97 None
    JTLIND        4.44        3.36       -20.37 None    None        47.83         41.67 None
       JWL        4.44       -0.14        12.88 None    None        55.59        138.46 None
       HGS        4.44       -3.02         0.35 None    None        15.79        -84.93 None
   DOLPHIN        4.42        0.10        20.16 None    None          NaN        375.00 None
    505872        4.42      -14.69         9.72 None    None        26.76        -13.33 None
   LINCOLN        4.39       -0.19        16.60 None    None        25.20         86.67 None
      SBFC        4.38        4.57       -10.86 None    None          NaN           NaN None
 JSWENERGY        4.38        0.74        -5.73 None    None        69.96         50.63 None
     SATIN        4.32        7.06        -0.03 None    None          NaN           NaN None
   ABSLAMC        4.31        5.44       -11.62 None    None        47.04        168.93 None
     IRCON        4.30       -3.35       -24.01 None    None       -10.79         13.10 None
    532935        4.29        0.01         0.00 None    None        39.17         55.64 None
APOLLOPIPE        4.28       11.06        11.65 None    None       479.31        158.23 None
VENUSPIPES        4.26        7.81        -0.08 None    None          NaN           NaN None
 FINCABLES        4.24       -4.26        -1.47 None    None        37.40         35.83 None
MEDIASSIST        4.22       11.70       -18.36 None    None        52.80          4.55 None
      HFCL        4.18        7.01        -7.39 None    None       -17.13       -154.72 None
       DCW        4.16       -3.32        -2.57 None    None          NaN           NaN None
    COLPAL        4.14        0.29         0.00 None    None          NaN           NaN None
GULFOILLUB        4.13       -3.26        -2.72 None    None        43.91         72.73 None
  SPECTRUM        4.11        0.34         3.90 None    None        13.29        171.98 None
HIMATSEIDE        4.11       -3.90       -19.74 None    None         2.98        120.00 None
STARHEALTH        4.11       -6.22        -0.86 None    None          NaN           NaN None
GODREJAGRO        4.06      -11.82        -1.25 None    None         4.14         69.32 None
   HLEGLAS        4.01        3.89        16.53 None    None        39.22         20.00 None
 NETWORK18        4.00       -2.72       -18.11 None    None       -65.07        282.05 None
     EFCIL        3.91        5.92       -29.50 None    None          NaN           NaN None
   KPRMILL        3.90        6.20        -7.38 None    None        11.42         -6.17 None
   SKIPPER        3.90      -10.62        -3.93 None    None       201.44       4600.00 None
ANANDRATHI        3.88       -1.62        -6.11 None    None       107.58        135.00 None
      PVSL        3.87        0.23         0.00 None    None         7.67       -182.64 None
GRWRHITECH        3.85        1.14         0.15 None    None        33.78         84.44 None
  AEGISLOG        3.81        4.50        -3.40 None    None       -23.09         63.55 None
LGBBROSLTD        3.81        1.12       -12.73 None    None        26.10         15.52 None
  RAJOOENG        3.80        4.44        -5.76 None    None       372.22           NaN None
  KAMDHENU        3.80        0.27       -20.59 None    None         7.30        134.20 None
 WHIRLPOOL        3.79       20.31       -24.00 None    None        16.87         71.76 None
NATCOPHARM        3.79       -9.12         0.74 None    None        50.17         50.00 None
 TATAELXSI        3.77        3.89        -0.72 None    None        58.22        275.00 None
       BDL        3.77        3.36       -12.82 None    None          NaN           NaN None
     IMPAL        3.77       -7.03         3.09 None    None         3.83         76.92 None
      APEX        3.73       -4.77         0.13 None    None          NaN           NaN None
       OIL        3.72        5.07        -9.94 None    None       -25.74        -36.63 None
HINDCOPPER        3.71       -5.17       -16.74 None    None        49.13        135.09 None
 TASTYBITE        3.70        0.40         0.00 None    None          NaN           NaN None
      MOIL        3.69       -9.98        -0.90 None    None        -4.29        -43.96 None
  SUMICHEM        3.60        3.55        -5.30 None    None         7.20         28.99 None
    MASTEK        3.59        2.25       -13.26 None    None        60.53          9.52 None
   RRKABEL        3.58        4.96        -1.00 None    None        66.59        400.00 None
  RSYSTEMS        3.57        8.82         0.96 None    None        23.20        137.50 None
 VIMTALABS        3.49        1.19        -0.74 None    None        34.33         83.33 None
   BASILIC        3.45       -3.18        -4.58 None    None       338.46         73.68 None
   MSTCLTD        3.45      -13.31         0.00 None    None       -57.46        -22.22 None
INDIAGLYCO        3.44       -0.75        -0.05 None    None        28.71        160.71 None
ASTRAMICRO        3.44      -15.39        -9.26 None    None        23.46        100.00 None
PERSISTENT        3.43       13.49        -4.46 None    None        77.53        100.47 None
BANCOINDIA        3.43       -3.89         0.00 None    None        65.53        214.29 None
    526614        3.41        2.20       -10.46 None    None          NaN           NaN None
  MANORAMA        3.40        4.61        -6.62 None    None        48.72         80.77 None
AVANTIFEED        3.39      -22.39        -0.71 None    None         2.36        154.79 None
SHANTIGEAR        3.26       -4.60         0.35 None    None          NaN           NaN None
 SEAMECLTD        3.25        5.61        -0.56 None    None        68.80        230.43 None
   SALASAR        3.25       -0.40       -26.03 None    None        42.48         20.25 None
  GRANULES        3.20       22.02       -14.63 None    None        18.63        -11.72 None
   GODIGIT        3.18       -1.84        -0.48 None    None          NaN           NaN None
  SPLPETRO        3.17        3.23         3.40 None    None          NaN           NaN None
       PFC        3.15        3.44       -10.36 None    None          NaN           NaN None
      SBCL        3.14       20.99       -28.67 None    None        23.42          4.55 None
JMFINANCIL        3.14        4.01        -8.81 None    None        40.46        131.82 None
     MICEL        3.13       -0.15        46.06 None    None       379.75        234.68 None
   TRIVENI        3.11        3.30        -7.23 None    None        30.40        -96.84 None
    523606        3.11        0.01         0.00 None    None       423.08        400.00 None
GKWLIMITED        3.10       -4.04         0.00 None    None          NaN           NaN None
     GLAXO        3.07       -2.55         0.00 None    None         8.05         72.27 None
      IGPL        3.03        0.85        -3.48 None    None       -28.79       -116.05 None
TORNTPOWER        3.02        5.10        -2.48 None    None        21.44         47.81 None
  JSWINFRA        3.00       -1.31        -2.00 None    None        47.12        168.97 None
    590066        3.00       -5.21        -0.98 None    None        19.61        106.98 None
 SERVOTECH        2.99         NaN       -10.58 None    None       326.81       1163.89 None
   TRIDENT        2.98       -3.58         5.91 None    None         1.61          8.53 None
      DOMS        2.95        1.10        -4.57 None    None        84.87        118.52 None
    BIKAJI        2.93        3.47        -1.05 None    None        55.85        268.75 None
  NLCINDIA        2.88        9.46       -17.80 None    None        -0.96         47.45 None
       EPL        2.88        5.54       -30.65 None    None        33.17        188.57 None
 HOACFOODS        2.85        8.61        -8.02 None    None          NaN           NaN None
  TATATECH        2.85        0.81        -0.17 None    None        10.68         14.86 None
 SCHNEIDER        2.85       -4.21         0.00 None    None          NaN           NaN None
MAHSEAMLES        2.84       -2.12         9.07 None    None       -14.17         64.29 None
PRINCEPIPE        2.83       -3.56        -2.31 None    None          NaN           NaN None
  PNCINFRA        2.79        4.07         0.00 None    None       -30.69         78.84 None
  ANANTRAJ        2.76        6.01        -3.35 None    None       272.33        425.00 None
    VISHNU        2.74        5.33        -5.79 None    None        -3.34         -5.88 None
    532067        2.70        1.76        -2.14 None    None        83.33        160.00 None
DCMSHRIRAM        2.69       -2.28         2.66 None    None        14.42        -55.12 None
   DHANUKA        2.67        8.38        -5.21 None    None        38.99         40.74 None
INDRAMEDCO        2.65        0.97         0.00 None    None          NaN           NaN None
  PATELENG        2.65      -48.50        11.34 None    None        36.85        118.92 None
  EIDPARRY        2.64        7.34        -3.72 None    None        22.08         -6.07 None
   SIEMENS        2.63       -2.05         0.00 None    None         2.09         40.53 None
ANDHRSUGAR        2.62       -0.87         0.25 None    None        -9.09        -67.11 None
   GRINFRA        2.61        9.50       -11.84 None    None       -26.15        -39.75 None
       AWL        2.60        8.21       -13.58 None    None        15.86         22.68 None
       SCI        2.58      -16.23         0.00 None    None        -9.99        224.77 None
   TVSHLTD        2.57       -5.25        -0.55 None    None        66.21        107.06 None
 GRINDWELL        2.55        4.19        -0.85 None    None        10.19          1.08 None
CUMMINSIND        2.53        1.89         0.00 None    None        71.40        205.05 None
       FCL        2.51        3.05        -9.47 None    None         0.74         25.00 None
   GUJTHEM        2.51        1.14        -4.12 None    None          NaN           NaN None
 JKLAKSHMI        2.50        1.95         0.40 None    None         5.26         30.43 None
    HONAUT        2.49       -3.19         0.00 None    None          NaN           NaN None
       BBL        2.48        2.40        -0.20 None    None          NaN           NaN None
    KNRCON        2.47       -1.89        -9.14 None    None       -37.45         35.16 None
   SAKSOFT        2.42       -0.01        -5.91 None    None        68.24         77.78 None
   HGINFRA        2.41       -5.55        -1.96 None    None        34.00         -9.17 None
   EIHOTEL        2.39       -0.70        -2.40 None    None        45.69        -43.94 None
  AARTIIND        2.37        8.30       -11.54 None    None         4.04        -68.38 None
     CELLO        2.36        1.87        -3.06 None    None        22.17         22.73 None
      TTML        2.36        0.07        -0.50 None    None        23.71        -82.86 None
   VOLTAMP        2.35        7.67        -9.68 None    None          NaN           NaN None
SALZERELEC        2.35      -10.66         8.86 None    None        85.29         70.00 None
  STYRENIX        2.30        7.79       -28.76 None    None        58.66         -7.14 None
 INOXINDIA        2.29        0.20         0.00 None    None        39.34         48.78 None
    TVSSCS        2.28       -5.04        -0.37 None    None        -3.10       3650.00 None
  ASIANENE        2.26        0.25         3.16 None    None       320.44        166.55 None
     ZUARI        2.26       -9.97        -0.87 None    None        -3.86        -86.09 None
  MOBIKWIK        2.25       -4.11        -0.15 None    None        33.50       -940.00 None
  OPTIEMUS        2.21        1.51        -1.89 None    None       111.17        200.00 None
     RITES        2.19        4.48       -15.20 None    None       -19.01        -37.24 None
 MANAKCOAT        2.19        0.01        -8.98 None    None        79.86       1300.00 None
ALKYLAMINE        2.18        2.56        -2.16 None    None        32.02        157.89 None
   MEDANTA        2.18       -0.35        -0.07 None    None        67.10        169.49 None
JAGSNPHARM        2.17        0.05        -1.52 None    None          NaN           NaN None
 BAJAJHIND        2.16      -43.11        -1.45 None    None       -18.43       -286.67 None
 SHYAMMETL        2.15        5.77       -13.76 None    None        37.11        -29.71 None
   STANLEY        2.13       -1.08        -0.09 None    None        12.18         44.44 None
   SNOWMAN        2.12        0.84         9.76 None    None          NaN           NaN None
    531201        2.12        0.13        -1.84 None    None          NaN           NaN None
       IOC        2.12       -1.39        -5.84 None    None       -13.91        671.01 None
AMRUTANJAN        2.10        9.91        -3.57 None    None          NaN           NaN None
ECOSMOBLTY        2.09        0.65         0.04 None    None        38.17         -7.14 None
  JINDRILL        2.09        0.26         0.23 None    None        90.98        120.00 None
      JBMA        2.09       -0.09         5.57 None    None        44.97         50.00 None
    CRISIL        2.08        0.99        -0.41 None    None        26.01         25.55 None
EXCELINDUS        2.08       -0.75         0.30 None    None        -5.78         -8.11 None
     HIKAL        2.06       -5.00         0.08 None    None         0.26       -144.44 None
   EPIGRAL        2.04        4.31        -2.35 None    None        13.88         49.07 None
     CLSEL        2.02        2.72        -0.66 None    None          NaN           NaN None
   FINPIPE        2.01        2.37         0.00 None    None       -12.35         -1.01 None
     ELLEN        1.98       10.63         2.22 None    None          NaN           NaN None
BHARATWIRE        1.98       -1.40       -19.88 None    None         9.70        175.00 None
  EXIDEIND        1.98       -6.51         0.00 None    None        16.73         36.14 None
      JASH        1.96      -15.52       -10.21 None    None       174.67        -24.88 None
VINATIORGA        1.91        2.22         0.32 None    None         7.11          2.97 None
      KECL        1.91       -4.32         0.17 None    None        29.32        108.92 None
SHARDAMOTR        1.90       11.41       -10.66 None    None        20.38        122.22 None
  V2RETAIL        1.90        7.26         1.51 None    None       199.53        933.33 None
SURYAROSNI        1.90        0.22        -0.85 None    None       -12.77         54.55 None
   GRMOVER        1.89       -4.99        -2.78 None    None         2.83          5.56 None
   MAZDOCK        1.87        4.42        -3.61 None    None        17.76        100.89 None
