===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
APOLLOTYRE      -18.89       19.25        -7.20 None    None        10.42        -93.19 None
     SOBHA      -19.89       17.05        -7.36 None    None        50.80        180.00 None
    UTIAMC      -20.66       -3.22          NaN None    None        86.69        176.09 None
      ZEEL      -21.54       12.37       -39.08 None    None        -0.98         34.58 None
  JUSTDIAL      -21.68       -4.47        40.98 None    None        53.41        241.18 None
   SANSERA      -23.01       24.32        -5.68 None    None        43.98         80.00 None
   ALLDIGI      -29.53       -1.55        33.04 None    None        63.64          7.14 None
   HATHWAY      -31.10       -6.69        31.52 None    None        18.57         47.62 None
  INTLCONV      -35.10       -3.56        32.59 None    None       -37.50        642.86 None
    CYIENT      -35.62       28.37         1.10 None    None        36.96         35.34 None
JISLJALEQS      -36.88        0.93        -4.07 None    None         9.18        283.33 None
SAMMAANCAP      -38.84        2.28       -23.82 None    None          NaN           NaN None
     BSOFT      -40.69       21.19        21.70 None    None        11.35        -12.40 None
    511144         NaN        1.74        83.17 None    None       635.03        895.45 None
HECPROJECT         NaN        1.40         1.52 None    None          NaN           NaN None
    508807         NaN        1.09        -0.01 None    None         3.57        350.00 None
    506919         NaN        0.39         2.91 None    None        37.52        255.42 None
    539997         NaN        0.33         4.68 None    None        58.57          9.09 None
    517393         NaN        0.14       -11.57 None    None          NaN           NaN None
    WEALTH         NaN        0.09         0.36 None    None       525.00        700.00 None
    543953         NaN        0.05         0.83 None    None          NaN           NaN None
    503681         NaN        0.05         0.12 None    None        43.75        121.88 None
    538564         NaN        0.01        -6.36 None    None        54.55       1533.33 None
NAGREEKCAP         NaN        0.00         0.31 None    None          NaN           NaN None
    504605         NaN        0.00         0.26 None    None          NaN           NaN None
    506528         NaN        0.00         0.10 None    None          NaN           NaN None
    526269         NaN        0.00         0.05 None    None          NaN           NaN None
    513295         NaN        0.00        -1.13 None    None         0.00      15450.00 None
    530217         NaN        0.00       -56.41 None    None          NaN           NaN None
    540614         NaN        0.00       -71.81 None    None       176.64        206.25 None
      ROML         NaN       -0.01        74.83 None    None          NaN           NaN None
    531390         NaN       -0.01        19.96 None    None          NaN           NaN None
    506597         NaN       -0.01        17.61 None    None       334.04        622.22 None
   AMNPLST         NaN       -0.01         0.01 None    None         1.37         30.58 None
    524790         NaN       -0.01       -11.83 None    None          NaN           NaN None
    521113         NaN       -0.01       -15.45 None    None        -6.47      10300.00 None
    505750         NaN       -0.02        -0.24 None    None        43.96        -81.82 None
    513472         NaN       -0.03        -5.28 None    None       -85.75        100.50 None
    504092         NaN       -0.04        -2.30 None    None        59.39        159.32 None
    526721         NaN       -0.10         6.55 None    None         5.88       -138.21 None
    501370         NaN       -0.10         2.58 None    None         3.97        103.94 None
  AGROPHOS         NaN       -0.12         0.00 None    None        16.31        193.29 None
    530361         NaN       -0.13         1.37 None    None          NaN           NaN None
    530907         NaN       -0.13       -19.66 None    None          NaN           NaN None
    531847         NaN       -0.25         0.00 None    None       -43.32        -13.64 None
    524582         NaN       -0.35        16.17 None    None        -7.54        315.38 None
  RAJRILTD         NaN       -0.41        60.07 None    None          NaN           NaN None
    542123         NaN       -1.56         1.75 None    None        71.33       -760.00 None
    530313         NaN       -2.07        24.46 None    None          NaN           NaN None
    509525         NaN       -8.80         0.00 None    None          NaN           NaN None
    535387         NaN         NaN        40.51 None    None          NaN           NaN None
    514260         NaN         NaN        24.95 None    None          NaN           NaN None
SHEKHAWATI         NaN         NaN        16.19 None    None          NaN           NaN None
    532113         NaN         NaN        13.86 None    None          NaN           NaN None
    538834         NaN         NaN        12.02 None    None          NaN           NaN None
    532435         NaN         NaN        10.42 None    None          NaN           NaN None
    507486         NaN         NaN         9.54 None    None          NaN           NaN None
    531668         NaN         NaN         8.19 None    None       -19.66        -39.62 None
    526727         NaN         NaN         6.42 None    None      3300.00           NaN None
    511246         NaN         NaN         5.56 None    None          NaN           NaN None
    531822         NaN         NaN         3.41 None    None       159.46        513.51 None
    505504         NaN         NaN         2.68 None    None          NaN         50.00 None
    526095         NaN         NaN         1.72 None    None          NaN           NaN None
    500388         NaN         NaN         0.02 None    None          NaN           NaN None
    522650         NaN         NaN         0.00 None    None       119.29        189.44 None
    539121         NaN         NaN         0.00 None    None         0.13        -64.38 None
    526654         NaN         NaN         0.00 None    None        -0.66        -65.71 None
       HMT         NaN         NaN         0.00 None    None       -21.88         15.15 None
      FOCE         NaN         NaN         0.00 None    None       -30.69        166.67 None
    521238         NaN         NaN         0.00 None    None          NaN           NaN None
    526237         NaN         NaN         0.00 None    None          NaN           NaN None
    538716         NaN         NaN         0.00 None    None          NaN           NaN None
     SAHAJ         NaN         NaN         0.00 None    None          NaN           NaN None
    509960         NaN         NaN        -0.01 None    None          NaN           NaN None
    505685         NaN         NaN        -0.06 None    None          NaN           NaN None
    512020         NaN         NaN        -1.01 None    None       210.71        196.00 None
    540266         NaN         NaN        -1.14 None    None       400.71        546.87 None
    530557         NaN         NaN        -2.79 None    None          NaN           NaN None
    519471         NaN         NaN        -3.62 None    None          NaN           NaN None
    539149         NaN         NaN        -5.04 None    None       -40.32        -80.65 None
    538874         NaN         NaN        -6.27 None    None          NaN           NaN None
    540652         NaN         NaN        -7.40 None    None       198.48        558.67 None
    514312         NaN         NaN        -9.06 None    None          NaN           NaN None
    540850         NaN         NaN       -20.74 None    None          NaN           NaN None
    540788         NaN         NaN       -34.12 None    None       101.92        158.33 None
    512600         NaN         NaN       -50.72 None    None          NaN           NaN None
SHREMINVIT         NaN         NaN          NaN None    None       108.56         51.61 None
VIKRAMSOLR         NaN         NaN          NaN None    None        79.71        478.26 None
   ALLTIME         NaN         NaN          NaN None    None        21.54          8.33 None
  CAPINVIT         NaN         NaN          NaN None    None        18.87       -100.00 None
AEGISVOPAK         NaN         NaN          NaN None    None         6.49         84.62 None
    544467         NaN         NaN          NaN None    None        -7.42         15.38 None
TRAVELFOOD         NaN         NaN          NaN None    None        -8.54         58.33 None
  PROSTARM         NaN         NaN          NaN None    None       -28.09        -75.44 None
  LOTUSDEV         NaN         NaN          NaN None    None       -49.59        -35.00 None
    544435         NaN         NaN          NaN None    None          NaN           NaN None
 BAJAJAUTO         NaN         NaN          NaN None    None          NaN           NaN None
GANESHHOUC         NaN         NaN          NaN None    None          NaN           NaN None
    890197         NaN         NaN          NaN None    None          NaN           NaN None
  NAMINDIA         NaN         NaN          NaN None    None          NaN           NaN None
   SSPOWER         NaN         NaN          NaN None    None          NaN           NaN None
SACHEEROME         NaN         NaN          NaN None    None          NaN           NaN None
 STUDIOLSD         NaN         NaN          NaN None    None          NaN           NaN None
      GVTD         NaN         NaN          NaN None    None          NaN           NaN None
    523105         NaN         NaN          NaN None    None          NaN           NaN None
   INFIBPP         NaN         NaN          NaN None    None          NaN           NaN None
      HPTL         NaN         NaN          NaN None    None          NaN           NaN None
      MEIL         NaN         NaN          NaN None    None          NaN           NaN None
    ITBEES         NaN         NaN          NaN None    None          NaN           NaN None
    GMRPUI         NaN         NaN          NaN None    None          NaN           NaN None
    REGAAL         NaN         NaN          NaN None    None          NaN           NaN None
  FUSIONPP         NaN         NaN          NaN None    None          NaN           NaN None
    KAYTEX         NaN         NaN          NaN None    None          NaN           NaN None
      AREM         NaN         NaN          NaN None    None          NaN           NaN None
